Year ;Collection ;Organism ;Sample ;Genus ;Species ;Number of ants ;;;
2006;Ground;Ant ;1;Camponotus maculatus;1;4;;;
2006;Ground;Ant ;2;Tertramorium ;3;8;;;
2006;Ground;Ant ;2;Tertramorium  ;4;2;;;
2006;Ground;Ant ;2;Anoplolepis ;1;41;;;
2006;Ground;Ant ;3;Tetramorium;4;3;;;
2006;Ground;Ant ;4;Tertramorium;3;2;;;
2006;Ground;Ant ;4;Anoplolepis ;1;10;;;
2006;Ground;Ant ;4;Monomoriaom;1;2;;;
2006;Ground;Ant ;4;Plagioepis;1;4;;;
2006;Ground;Ant ;5;Tertramorium;3;14;;;
2006;Ground;Ant ;5;Anoplolepis ;1;33;;;
2006;Ground;Ant ;5;Tertramorium;5;2;;;
2006;Ground;Ant ;5;Plagioepis;1;4;;;
2016;Ground;Ant ;1;Anoplolepis ;1;2;;;
2016;Ground;Ant ;1;Lepisiota ;1;3;;;
2016;Ground;Ant ;1;Cernatogaster ;1;5;;;
2016;Ground;Ant ;1;Tetramorium;6 (sericeiventre) ;2;;;
2016;Ground;Ant ;2;Pheidole ;1;7;;;
2016;Ground;Ant ;1;Plagiopis ;1;1;;;
2016;Ground;Ant ;2;Tetramorium;1;1;;;
2016;Ground;Ant ;2;Cernatogaster;1;2;;;
2016;Ground;Ant ;2;Pheidole  ;2;1;;;`
2016;Ground;Ant ;2;Tetramorium;6 (sericeiventre) ;1;;;
2016;Ground;Ant ;2;Tertamorium;2;1;;;
2016;Ground;Ant ;2;Tertamorium;7;2;;;
2016;Ground;Ant ;4;Tapinoma;1;1;;;
2016;Ground;Ant ;4;Anoplolepis ;1;1;;;
2016;Ground;Ant ;4;Pheidole;1;8;;;
2016;Ground;Ant ;5;Pheidole;1;88;;;
2016;Ground;Ant ;5;Tertamorium ;2;1;;;
2020;Ground;Ant ;1;Pheidole ;1;52;;;
2020;Ground;Ant ;2;Caminotus;2;1;;;
2020;Ground;Ant ;2;Meranoplus;1;4;;;
2020;Ground;Ant ;2;Pheidole;1;7;;;
2020;Ground;Ant ;2;Plagioepis ;1;1;;;
2020;Ground;Ant ;2;Tetramorium;3;2;;;
2020;Ground;Ant ;2;Lepisiota;1;1;;;
2020;Ground;Ant ;2;Camponotus maculatus;1;1;;;
2020;Ground;Ant ;2;Tetramorium;6;2;;;
2020;Ground;Ant ;2;Pheidole ;1;1;;;
2020;Ground;Ant ;2;Pheidole;2;20;;;
2020;Ground;Ant ;3;Pheidole;1;46;;;
2020;Ground;Ant ;3;Meranoplus;1;3;;;
2020;Ground;Ant ;4;Tetramorium ;6;1;;;
2020;Ground;Ant ;4;Pheidole;1;15;;;
2020;Ground;Ant ;4;Plagioepis ;2;2;;;
2020;Ground;Ant ;4;Plagioepis ;1;5;;;
2020;Ground;Ant ;4;Meranoplus;1;13;;;
2020;Ground;Ant ;4;Anoplolepis;1;1;;;
2020;Ground;Ant ;4;Meranoplus;2;1;;;
2020;Ground;Ant ;4;Brachyponera;1;2;;;
2020;Ground;Ant ;5;Meranoplus;1;1;;;
2020;Ground;Ant ;5;Pheidole;1;40;;;
2020;Ground;Ant ;5;Anoplolepis;1;1;;;
2020;Ground;Ant ;5;Tetramorium;8;1;;;
2006;Ground;Spider ;4;2 NI ;;1;;;
2006;Ground;Spider ;4;7.2 Theriidae Ruborrhidion  ;5;1;;;
2016;Ground;Spider ;2;6 Gnaphodidae Zelotes ;;1;;;
2016;Ground;Spider ;4;Gnaphosidae ;2;1;;;
2016;Ground;Spider ;4;3 Theriniidae ;3;1;;;
2020;Ground;Spider ;1;9 NI ;;1;;;
2020;Ground;Spider ;3;23 Theridiidae Theridion ;4;1;?;;
2016;Ground;Spider ;5;Gnaphosidae ;3;1;;;
2020;Beating;Ant  ;5;Camponotus maculatus;2;1;;;
2006;Beating;Spider ;1;Theridiidae;7;2;;;
2006;Beating;Spider ;2;* 21 Zodariidae;;1;;;
2006;Beating;Spider ;2;17 Ni Araneidae ;;2;;;
2006;Beating ;Spider ;3;Theridiidae;1;1;;;
2006;Beating;Spider ;3;20 Theridiidae Phrononcidia;2;1;;;
2006;Beating;Spider ;4;13 Thomisidae ;;2;;;
2006;Beating;Spider ;4;Philodromidae;;2;;;
2006;Beating;Spider ;4;Dictynidae dictyna ;1;1;; ;
2006;Beating ;Spider ;4;14.2 Cheiracanthiidae Cheiracanthium ;;;;;
2006;Beating;Spider ;4;14 Thomisidae ;;1;;;
2006;Beating ;Spider ;5;6.2 Theridiidae ;6;;;;
2016;Beating ;Spider ;1;13,2 Araneidae Pararaneus ;;1;;;
2016;Beating ;Spider ;1;14 Clubionidae Clubiona ;;1;;;
2016;Beating ;Spider ;1;Philodromidae;2;1; ; ;
2016;Beating ;Spider ;4;8 Ni ;;1;;;
2016;Beating;Spider ;5;11 NI Araneidae;;1;;;
2020;Beating;Spider ;3;Linyphiidae ;;1;;;
2020;Beating;Spider ;3;18 Dictynidae ;2;1;;;
2020;Beating;Spider ;4;17 NI Araneidae ;;1;;;
2020;Beating;Spider ;5;8 Ni ;;1;;;
2020;Ground;Spider ;4;7 Lycosidae ;;1;;;
